azsqldbelasticscaleservicesm,Microsoft.Azure.SqlDatabase.ElasticScale.Service.SplitMerge,0.8.0,1.0.0,1.2.0
azkeyvaultcrypto,Microsoft.Azure.KeyVault.Cryptography,2.0.4,2.0.5
azbatchappscrypto,Microsoft.Azure.Batch.Apps.Cryptography,1.1.1.4
azmgmtlogic,Microsoft.Azure.Management.Logic,1.0.0,2.0.0,2.1.0
azmgmtremoteapp,Microsoft.Azure.Management.RemoteApp,1.0.7,1.0.8,1.0.9
azmobileserverstorage,Microsoft.Azure.Mobile.Server.Storage,1.0.119,1.1.157.1,2.0.0
azmobileengagement,MicrosoftAzure.MobileEngagement,3.3.1,3.4.0,3.4.1
azmobileservicerb,Microsoft.WindowsAzure.Mobile.Service.ResourceBroker,1.0.1,1.0.2,1.0.2.1
azml,Microsoft.Azure.MachineLearning,0.9.0,0.9.1,0.9.2
azsqldbjobs,Microsoft.Azure.SqlDatabase.Jobs,0.8.3250.1,0.8.3323.1,0.8.3362.1
azbatchconventionsfiles,Microsoft.Azure.Batch.Conventions.Files,1.0.0,1.0.1,2.0.0
azmlmgmt,Microsoft.Azure.MachineLearning.Management,0.9.0,0.9.1,0.9.2
azmgmtrecoveryservicesbackup,Microsoft.Azure.Management.RecoveryServices.Backup,0.1.2
azasapiappscommon,Microsoft.Azure.AppService.ApiApps.Common,0.9.30,0.9.36
azmgmtsearch,Microsoft.Azure.Management.Search,1.0.1
azbatchfs,Azure.Batch.FileStaging,6.0.0
azstackconsistentstorage,Microsoft.AzureStack.AzureConsistentStorage,0.10.5,0.10.6
azmgmtdevtestlabs,Microsoft.Azure.Management.DevTestLabs,1.1.1,1.1.2,1.2.0
azmgmtiothub,Microsoft.Azure.Management.IotHub,1.0.0,1.1.0
azmgmtmedia,Microsoft.Azure.Management.Media,0.1.0,0.2.0
azmgmtservermgmt,Microsoft.Azure.Management.ServerManagement,1.0.6,1.0.7,1.1.0
azmgmteventhub,Microsoft.Azure.Management.EventHub,1.1.0
